6 #m
10 #n
#sample_index	sample_label	character_label	(character_index,(1,1,1))	vaf_lb	vaf_ub
0	breast	0	(cluster_1,(1,1,1))	0.251814261011	0.272618747476
0	breast	1	(cluster_2,(1,1,1))	0.0	0.00606896994454
0	breast	2	(cluster_3,(1,1,1))	0.0	0.00258710974892
0	breast	3	(cluster_4,(1,1,1))	0.0	0.00257813012212
0	breast	4	(cluster_5,(1,1,1))	0.0	0.00502849419312
0	breast	5	(cluster_6,(1,1,1))	0.0	0.00136494674016
0	breast	6	(cluster_7,(1,1,1))	0.0	0.00279485702516
0	breast	7	(cluster_8,(1,1,1))	0.0	0.00452646783461
0	breast	8	(cluster_9,(1,1,1))	0.0	0.00127996802823
0	breast	9	(cluster_10,(1,1,1))	0.0	0.00544661985507
1	brain	0	(cluster_1,(1,1,1))	0.317348191093	0.336480039584
1	brain	1	(cluster_2,(1,1,1))	0.0	0.018645436224
1	brain	2	(cluster_3,(1,1,1))	0.0	0.0134889508788
1	brain	3	(cluster_4,(1,1,1))	0.303235502274	0.342074873841
1	brain	4	(cluster_5,(1,1,1))	0.0	0.00241896439976
1	brain	5	(cluster_6,(1,1,1))	0.0	0.000841055637795
1	brain	6	(cluster_7,(1,1,1))	0.0	0.00518039280523
1	brain	7	(cluster_8,(1,1,1))	0.0	0.00180922385985
1	brain	8	(cluster_9,(1,1,1))	0.0	0.00297556669336
1	brain	9	(cluster_10,(1,1,1))	0.14110601336	0.22535297576
2	kidney	0	(cluster_1,(1,1,1))	0.204807535738	0.219923591647
2	kidney	1	(cluster_2,(1,1,1))	0.188407589946	0.236212671974
2	kidney	2	(cluster_3,(1,1,1))	0.19425011927	0.227363965311
2	kidney	3	(cluster_4,(1,1,1))	0.0	0.00291339866541
2	kidney	4	(cluster_5,(1,1,1))	0.174672534255	0.238966427263
2	kidney	5	(cluster_6,(1,1,1))	0.0	0.00155563441477
2	kidney	6	(cluster_7,(1,1,1))	0.0	0.00338608899957
2	kidney	7	(cluster_8,(1,1,1))	0.188681158488	0.232354137582
2	kidney	8	(cluster_9,(1,1,1))	0.0	0.00136829360804
2	kidney	9	(cluster_10,(1,1,1))	0.0	0.00577302107827
3	liver	0	(cluster_1,(1,1,1))	0.408969024814	0.430800014643
3	liver	1	(cluster_2,(1,1,1))	0.412221409159	0.480946346199
3	liver	2	(cluster_3,(1,1,1))	0.42169653939	0.470103711898
3	liver	3	(cluster_4,(1,1,1))	0.0	0.00192602774478
3	liver	4	(cluster_5,(1,1,1))	0.341603969783	0.435384406448
3	liver	5	(cluster_6,(1,1,1))	0.0	0.00146415160562
3	liver	6	(cluster_7,(1,1,1))	0.0	0.00554498155549
3	liver	7	(cluster_8,(1,1,1))	0.0	0.00320002996745
3	liver	8	(cluster_9,(1,1,1))	0.175597268593	0.200087215992
3	liver	9	(cluster_10,(1,1,1))	0.0	0.00491158898122
4	lung	0	(cluster_1,(1,1,1))	0.336802039859	0.359616607788
4	lung	1	(cluster_2,(1,1,1))	0.0101464076224	0.030491599369
4	lung	2	(cluster_3,(1,1,1))	0.0	0.00304676454878
4	lung	3	(cluster_4,(1,1,1))	0.303324036039	0.34860009681
4	lung	4	(cluster_5,(1,1,1))	0.0	0.00542750944371
4	lung	5	(cluster_6,(1,1,1))	0.0106246772199	0.0181306565222
4	lung	6	(cluster_7,(1,1,1))	0.251288047307	0.337469921452
4	lung	7	(cluster_8,(1,1,1))	0.0	0.00326676003969
4	lung	8	(cluster_9,(1,1,1))	0.0	0.00115048919356
4	lung	9	(cluster_10,(1,1,1))	0.0	0.00582750186024
5	rib	0	(cluster_1,(1,1,1))	0.354621100211	0.376411092982
5	rib	1	(cluster_2,(1,1,1))	0.323406107502	0.392548588998
5	rib	2	(cluster_3,(1,1,1))	0.0	0.0012957106716
5	rib	3	(cluster_4,(1,1,1))	0.0	0.00341154060258
5	rib	4	(cluster_5,(1,1,1))	0.0	0.00496966570575
5	rib	5	(cluster_6,(1,1,1))	0.329015675184	0.358251820549
5	rib	6	(cluster_7,(1,1,1))	0.0	0.00556308111763
5	rib	7	(cluster_8,(1,1,1))	0.0	0.0022671115687
5	rib	8	(cluster_9,(1,1,1))	0.0	0.00102613664184
5	rib	9	(cluster_10,(1,1,1))	0.0	0.0055187604278
