#sample,chr,startpos,endpos,BAF,pval,LogR,ntot,nMaj1_A,nMin1_A,frac1_A,nMaj2_A,nMin2_A,frac2_A,SDfrac_A,SDfrac_A_BS,frac1_A_0.025,frac1_A_0.975,frac1_A_corrected_for_purity,frac2_A_corrected_for_purity,,
A22-a,1,54676,876067,0.616223612,0.705179777,-0.303129341,2.178085009,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,878709,8505058,0.891907324,1,-0.472368188,1.88176459,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,8510577,9658707,0.550470894,7.79E-16,-2.845199842,0.013526537,0,0,0.943976215,1,0,0.056023785,0.007592664,0.007643218,0.928543281,0.958767745,0.755180972,0.044819028,,
A22-a,1,9658809,12847291,0.895369912,1,-0.428322304,1.95557053,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,12851566,12899057,0.543162748,0.009309158,-0.118358675,2.543870166,1,1,0.763891526,2,1,0.236108474,0.097174752,0.096992704,0.542165902,0.927080999,0.611113221,0.188886779,,
A22-a,1,12911429,28553388,0.897641565,1,-0.460717936,1.914895466,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,28578385,52576555,0.650331669,1,0.054816626,2.931948293,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,52601675,58994741,0.897172923,1,-0.435247364,1.943816675,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,58995519,64105056,0.833680667,1,-1.18524766,0.971427216,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,64105799,65071910,0.507973616,1,-0.482919895,1.864415565,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,65152364,65294703,0.829910893,1,-1.210424741,0.945097386,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,65299088,92390758,0.509293726,1,-0.444371753,1.928415808,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,92398969,112468814,0.652741684,1,0.058314451,2.940276713,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,112470215,113714823,0.889619013,0.007152677,-0.420505007,1.96890674,1,0,0.238692701,2,0,0.761307299,0.080179064,0.080154942,0.079874006,0.388315556,0.190954161,0.609045839,,
A22-a,1,113715350,114141775,0.63696792,1,0.101004875,3.04356779,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,114146135,117867489,0.894999689,1,-0.408314117,1.989848999,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,117868790,118024957,0.63652763,1,0.0641783,2.954284085,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,118026778,118363223,0.901645383,1,-0.431297683,1.969087357,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,118429694,142919720,0.64076988,1,-0.147116895,2.483815371,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,143123062,146944984,0.581913197,1.33E-48,0.094630067,3.027948908,2,1,0.633301346,2,2,0.366698654,0.025685248,0.02540371,0.580613176,0.680211288,0.506641077,0.293358923,,
A22-a,1,146961650,149707476,0.674067409,1.45E-13,0.329165461,3.650551105,2,1,0.665392131,3,1,0.334607869,0.048074441,0.048659928,0.567067629,0.758218355,0.532313705,0.267686295,,
A22-a,1,149820656,155206341,0.551449784,3.22E-269,0.687367156,4.820003473,2,2,0.48395541,3,2,0.51604459,0.011462681,0.011240315,0.461930202,0.507018122,0.387164328,0.412835672,,
A22-a,1,155207549,205569973,0.50124881,1,0.469140716,4.073331843,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,205570406,205631767,0.90849651,1,-0.400253219,2.034274334,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,205636334,207075171,0.6462684,1,0.063041484,2.951564045,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,1,207079615,249239130,0.90016214,1,-0.402441889,2.01,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,2,23368,210207569,0.500685993,1,-0.40383596,1.997586404,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,2,210207813,210262300,0.829962135,1,-1.149432883,0.990021911,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,2,210262554,210386295,0.55177439,3.99E-07,-0.407560091,1.991150133,1,0,0.234486289,1,1,0.765513711,0.039757543,0.03920637,0.160417192,0.314627282,0.187589031,0.612410969,,
A22-a,2,210387732,210758852,0.835531012,1,-1.135576194,1.016626569,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,2,210829124,243072740,0.501433111,1,-0.417674123,1.973754044,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,3,61466,5913291,0.641909212,1,0.08123129,2.995344746,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,3,5914259,6003395,0.773482536,1,0.79368124,5.226770373,4,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,3,6003582,197872160,0.64159731,1,0.077834661,2.987127494,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,4,97884,23429780,0.64188979,1,0.070269981,2.968896113,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,4,23430768,25075451,0.508509255,1,-0.374132048,2.049521629,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,4,25111387,25493709,0.829373855,1,-1.199558536,0.95328092,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,4,25530864,25628002,0.501301428,1,-0.458899406,1.904095,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,4,25636766,25990680,0.797310746,8.69E-07,-1.113614848,1.027452514,1,0,0.93185211,1,1,0.06814789,0.014182005,0.014080468,0.903412792,0.959551007,0.745481688,0.054518312,,
A22-a,4,26004965,26090375,0.497287749,1,-0.476532961,1.874901746,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,4,26090862,26257241,0.80827053,0.044187987,-1.132418595,1.007686354,1,0,0.953101753,1,1,0.046898247,0.02366603,0.024146179,0.896746825,0.995776629,0.762481402,0.037518598,,
A22-a,4,26257699,191042514,0.50149524,1,-0.398608438,2.006649003,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,5,12041,54326830,0.500997156,1,0.438727509,3.977952443,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,5,54394787,55464522,0.587246875,1,0.746905504,5.04410442,3,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,5,55464684,65665913,0.500608098,1,0.442202258,3.988748204,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,5,65686059,131511637,0.641849368,1,0.076648055,2.98426137,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,5,131542184,132291694,0.836839046,1,-1.182871078,0.978018743,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,5,132295488,175055515,0.641317287,1,0.07434233,2.978698865,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
