method	pattern	instance	sample	character	width
TRUE	M	209	0	0	0.221796
TRUE	M	209	0	1	0.104505
TRUE	M	209	0	2	0.0
TRUE	M	209	0	3	0.0
TRUE	M	209	0	4	0.0
TRUE	M	209	0	5	0.0
TRUE	M	209	0	6	0.0
TRUE	M	209	0	7	0.0
TRUE	M	209	0	8	0.0
TRUE	M	209	0	9	0.0
TRUE	M	209	0	10	0.0
TRUE	M	209	0	11	0.0
TRUE	M	209	0	12	0.0
TRUE	M	209	0	13	0.0
TRUE	M	209	0	14	0.0
TRUE	M	209	0	15	0.0
TRUE	M	209	1	0	0.22671
TRUE	M	209	1	1	0.0
TRUE	M	209	1	2	0.202946
TRUE	M	209	1	3	0.0
TRUE	M	209	1	4	0.0
TRUE	M	209	1	5	0.0
TRUE	M	209	1	6	0.0
TRUE	M	209	1	7	0.0
TRUE	M	209	1	8	0.0
TRUE	M	209	1	9	0.0
TRUE	M	209	1	10	0.0
TRUE	M	209	1	11	0.0
TRUE	M	209	1	12	0.0
TRUE	M	209	1	13	0.0
TRUE	M	209	1	14	0.0
TRUE	M	209	1	15	0.0
TRUE	M	209	2	0	0.217764
TRUE	M	209	2	1	0.0
TRUE	M	209	2	2	0.0
TRUE	M	209	2	3	0.0
TRUE	M	209	2	4	0.211938
TRUE	M	209	2	5	0.0
TRUE	M	209	2	6	0.0
TRUE	M	209	2	7	0.0
TRUE	M	209	2	8	0.0
TRUE	M	209	2	9	0.0
TRUE	M	209	2	10	0.0
TRUE	M	209	2	11	0.0
TRUE	M	209	2	12	0.0
TRUE	M	209	2	13	0.0
TRUE	M	209	2	14	0.0
TRUE	M	209	2	15	0.143533
TRUE	M	209	3	0	0.203897
TRUE	M	209	3	1	0.0
TRUE	M	209	3	2	0.0
TRUE	M	209	3	3	0.205301
TRUE	M	209	3	4	0.0
TRUE	M	209	3	5	0.0
TRUE	M	209	3	6	0.0
TRUE	M	209	3	7	0.0
TRUE	M	209	3	8	0.0
TRUE	M	209	3	9	0.0
TRUE	M	209	3	10	0.0
TRUE	M	209	3	11	0.090851
TRUE	M	209	3	12	0.0
TRUE	M	209	3	13	0.0
TRUE	M	209	3	14	0.074755
TRUE	M	209	3	15	0.140377
TRUE	M	209	4	0	0.207229
TRUE	M	209	4	1	0.133911
TRUE	M	209	4	2	0.0
TRUE	M	209	4	3	0.0
TRUE	M	209	4	4	0.0
TRUE	M	209	4	5	0.152291
TRUE	M	209	4	6	0.155689
TRUE	M	209	4	7	0.0
TRUE	M	209	4	8	0.0
TRUE	M	209	4	9	0.0
TRUE	M	209	4	10	0.0
TRUE	M	209	4	11	0.0
TRUE	M	209	4	12	0.074686
TRUE	M	209	4	13	0.078822
TRUE	M	209	4	14	0.0
TRUE	M	209	4	15	0.0
TRUE	M	209	5	0	0.216066
TRUE	M	209	5	1	0.0
TRUE	M	209	5	2	0.0
TRUE	M	209	5	3	0.201708
TRUE	M	209	5	4	0.197173
TRUE	M	209	5	5	0.0
TRUE	M	209	5	6	0.0
TRUE	M	209	5	7	0.145823
TRUE	M	209	5	8	0.0920679
TRUE	M	209	5	9	0.076228
TRUE	M	209	5	10	0.072564
TRUE	M	209	5	11	0.0
TRUE	M	209	5	12	0.0
TRUE	M	209	5	13	0.0
TRUE	M	209	5	14	0.0
TRUE	M	209	5	15	0.144451
TRUE	M	473	0	0	0.209689
TRUE	M	473	0	1	0.219969
TRUE	M	473	0	2	0.062534
TRUE	M	473	0	3	0.0652999
TRUE	M	473	0	4	0.1395021
TRUE	M	473	0	5	0.052455
TRUE	M	473	0	6	0.150393
TRUE	M	473	0	7	0.0
TRUE	M	473	0	8	0.0
TRUE	M	473	0	9	0.0
TRUE	M	473	0	10	0.0
TRUE	M	473	0	11	0.0
TRUE	M	473	0	12	0.0
TRUE	M	473	0	13	0.0
TRUE	M	473	0	14	0.0
TRUE	M	473	0	15	0.0
TRUE	M	473	0	16	0.0
TRUE	M	473	0	17	0.0
TRUE	M	473	0	18	0.0
TRUE	M	473	0	19	0.0
TRUE	M	473	0	20	0.0
TRUE	M	473	0	21	0.0
TRUE	M	473	1	0	0.21075
TRUE	M	473	1	1	0.210187
TRUE	M	473	1	2	0.063097
TRUE	M	473	1	3	0.0638636
TRUE	M	473	1	4	0.0
TRUE	M	473	1	5	0.052914
TRUE	M	473	1	6	0.0
TRUE	M	473	1	7	0.0
TRUE	M	473	1	8	0.0
TRUE	M	473	1	9	0.0
TRUE	M	473	1	10	0.0
TRUE	M	473	1	11	0.0
TRUE	M	473	1	12	0.0
TRUE	M	473	1	13	0.0
TRUE	M	473	1	14	0.0
TRUE	M	473	1	15	0.0
TRUE	M	473	1	16	0.0
TRUE	M	473	1	17	0.0
TRUE	M	473	1	18	0.0
TRUE	M	473	1	19	0.0
TRUE	M	473	1	20	0.0
TRUE	M	473	1	21	0.0
TRUE	M	473	2	0	0.207665
TRUE	M	473	2	1	0.218897
TRUE	M	473	2	2	0.0
TRUE	M	473	2	3	0.0
TRUE	M	473	2	4	0.0
TRUE	M	473	2	5	0.0
TRUE	M	473	2	6	0.0
TRUE	M	473	2	7	0.212701
TRUE	M	473	2	8	0.215146
TRUE	M	473	2	9	0.0
TRUE	M	473	2	10	0.0
TRUE	M	473	2	11	0.0
TRUE	M	473	2	12	0.0
TRUE	M	473	2	13	0.0
TRUE	M	473	2	14	0.0
TRUE	M	473	2	15	0.0
TRUE	M	473	2	16	0.0
TRUE	M	473	2	17	0.0
TRUE	M	473	2	18	0.0
TRUE	M	473	2	19	0.0
TRUE	M	473	2	20	0.0
TRUE	M	473	2	21	0.1492
TRUE	M	473	3	0	0.212135
TRUE	M	473	3	1	0.1423028
TRUE	M	473	3	2	0.0
TRUE	M	473	3	3	0.0
TRUE	M	473	3	4	0.0
TRUE	M	473	3	5	0.0
TRUE	M	473	3	6	0.0
TRUE	M	473	3	7	0.1177987
TRUE	M	473	3	8	0.0
TRUE	M	473	3	9	0.0
TRUE	M	473	3	10	0.0
TRUE	M	473	3	11	0.0
TRUE	M	473	3	12	0.0
TRUE	M	473	3	13	0.0
TRUE	M	473	3	14	0.05693
TRUE	M	473	3	15	0.0
TRUE	M	473	3	16	0.0
TRUE	M	473	3	17	0.0
TRUE	M	473	3	18	0.074107
TRUE	M	473	3	19	0.0
TRUE	M	473	3	20	0.0655071
TRUE	M	473	3	21	0.0
TRUE	M	473	4	0	0.201057
TRUE	M	473	4	1	0.213681
TRUE	M	473	4	2	0.064941
TRUE	M	473	4	3	0.0
TRUE	M	473	4	4	0.0
TRUE	M	473	4	5	0.0
TRUE	M	473	4	6	0.0
TRUE	M	473	4	7	0.0
TRUE	M	473	4	8	0.0
TRUE	M	473	4	9	0.145131
TRUE	M	473	4	10	0.196022
TRUE	M	473	4	11	0.197298
TRUE	M	473	4	12	0.113887
TRUE	M	473	4	13	0.0
TRUE	M	473	4	14	0.0
TRUE	M	473	4	15	0.0
TRUE	M	473	4	16	0.0
TRUE	M	473	4	17	0.0
TRUE	M	473	4	18	0.0
TRUE	M	473	4	19	0.080123
TRUE	M	473	4	20	0.0
TRUE	M	473	4	21	0.0
TRUE	M	473	5	0	0.218331
TRUE	M	473	5	1	0.2116
TRUE	M	473	5	2	0.0
TRUE	M	473	5	3	0.0
TRUE	M	473	5	4	0.0
TRUE	M	473	5	5	0.0
TRUE	M	473	5	6	0.0
TRUE	M	473	5	7	0.216087
TRUE	M	473	5	8	0.0
TRUE	M	473	5	9	0.0
TRUE	M	473	5	10	0.0
TRUE	M	473	5	11	0.0
TRUE	M	473	5	12	0.0
TRUE	M	473	5	13	0.0
TRUE	M	473	5	14	0.0
TRUE	M	473	5	15	0.0
TRUE	M	473	5	16	0.0
TRUE	M	473	5	17	0.0
TRUE	M	473	5	18	0.0
TRUE	M	473	5	19	0.0
TRUE	M	473	5	20	0.104487
TRUE	M	473	5	21	0.0
TRUE	M	473	6	0	0.204753
TRUE	M	473	6	1	0.206259
TRUE	M	473	6	2	0.065643
TRUE	M	473	6	3	0.0
TRUE	M	473	6	4	0.0
TRUE	M	473	6	5	0.0
TRUE	M	473	6	6	0.0
TRUE	M	473	6	7	0.158441
TRUE	M	473	6	8	0.0
TRUE	M	473	6	9	0.142452
TRUE	M	473	6	10	0.0
TRUE	M	473	6	11	0.0
TRUE	M	473	6	12	0.0
TRUE	M	473	6	13	0.1101888
TRUE	M	473	6	14	0.0
TRUE	M	473	6	15	0.07253
TRUE	M	473	6	16	0.0
TRUE	M	473	6	17	0.205395
TRUE	M	473	6	18	0.0
TRUE	M	473	6	19	0.0
TRUE	M	473	6	20	0.0
TRUE	M	473	6	21	0.127382
TRUE	M	473	7	0	0.212797
TRUE	M	473	7	1	0.228749
