17;16;14;22;4;1;0;10	24
24	24_P
24	24_M5
24	24_M4
24	24_M7
24	24_M6
24	24_M1
24	24_M3
24	24_M2
17;16;14;22;4;1;0;10	53;34;75;60
53;34;75;60	53;34;75;60_M6
17;16;14;22;4;1;0;10	36;84;55;64;39;82;48
36;84;55;64;39;82;48	36;84;55;64;39;82;48_M7
17;16;14;22;4;1;0;10	52;76;58;83;44
52;76;58;83;44	52;76;58;83;44_P
17;16;14;22;4;1;0;10	66;42
66;42	66;42_M3
17;16;14;22;4;1;0;10	74
74	74_M4
GL	17;16;14;22;4;1;0;10
17;16;14;22;4;1;0;10	17;16;14;22;4;1;0;10_P
17;16;14;22;4;1;0;10	17;16;14;22;4;1;0;10_M5
17;16;14;22;4;1;0;10	17;16;14;22;4;1;0;10_M4
17;16;14;22;4;1;0;10	17;16;14;22;4;1;0;10_M7
17;16;14;22;4;1;0;10	17;16;14;22;4;1;0;10_M6
17;16;14;22;4;1;0;10	17;16;14;22;4;1;0;10_M1
17;16;14;22;4;1;0;10	17;16;14;22;4;1;0;10_M3
17;16;14;22;4;1;0;10	17;16;14;22;4;1;0;10_M2
24	56;79;43;81;32;71;51;50
56;79;43;81;32;71;51;50	56;79;43;81;32;71;51;50_M5
24	77;19;63;25;12;33;40;11;30;9;6;80;46;78;37;72;49;41;28
77;19;63;25;12;33;40;11;30;9;6;80;46;78;37;72;49;41;28	77;19;63;25;12;33;40;11;30;9;6;80;46;78;37;72;49;41;28_M2
53;34;75;60	13;23;5;29;35;38;26
13;23;5;29;35;38;26	13;23;5;29;35;38;26_M1
